Día;Feriados
01/01/2021;Año Nuevo
15/02/2021;Carnaval
16/02/2021;Carnaval
05/03/2021;Día del Gas
24/03/2021;Día Nacional de la Memoria por la Verdad y la Justicia
01/04/2021;Jueves Santo - Festividad Católica
02/04/2021;Viernes Santo - Festividad Católica / Veteranos Malvinas
01/05/2021;Día del Trabajador
24/05/2021;Feriado Puente
25/05/2021;Día de la Revolución de Mayo
20/06/2021;Día Paso a la Inmortalidad del General Manuel Belgrano.
21/06/2021;Paso a la Inmortalidad del Gral. Güemes
09/07/2021;Día de la Independencia
16/08/2021;Paso a la Inmortalidad del Gral. José de San Martín
08/10/2021;Feriado Puente
11/10/2021;Día del Respeto a la Diversidad Cultural
20/11/2021;Día de la Soberanía Nacional
22/11/2021;Feriado Puente
08/12/2021;Inmaculada Concepción de María 
24/12/2021;Puente Ecogas
25/12/2021;Navidad
31/12/2021;Puente Ecogas
01/01/2022;Año Nuevo
28/02/2022;Carnaval
01/03/2022;Carnaval
24/03/2022;Día Nacional de la Memoria por la Verdad y la Justicia
02/04/2022;Veteranos Malvinas
15/04/2022;Viernes Santo - Festividad Católica
01/05/2022;Día del Trabajador
25/05/2022;Día de la Revolución de Mayo
17/06/2022;Paso a la Inmortalidad del Gral. Güemes
20/06/2022;Día Paso a la Inmortalidad del General Manuel Belgrano.
09/07/2022;Día de la Independencia
15/08/2022;Paso a la Inmortalidad del Gral. José de San Martín
07/10/2022;Feriado Puente
10/10/2022;Día del Respeto a la Diversidad Cultural
20/11/2022;Día de la Soberanía Nacional
21/11/2022;Feriado Puente
08/12/2022;Inmaculada Concepción de María 
09/12/2022;Feriado Puente
25/12/2022;Navidad
01/01/2023;Año Nuevo
